iter	RMSE
0	17.89679243
1	17.86809955
2	17.84234061
3	17.81365876
4	17.78057625
5	17.74570663
6	17.71476269
7	17.67483797
8	17.64565334
9	17.63913162
10	17.61200629
11	17.57237816
12	17.55833655
13	17.52370286
14	17.50675677
15	17.47579578
16	17.43469097
17	17.40927365
18	17.39005878
19	17.37545043
20	17.35669197
21	17.33306177
22	17.31702941
23	17.29886321
24	17.27296081
25	17.23337616
26	17.20548936
27	17.18958938
28	17.15813085
29	17.13500683
30	17.08855902
31	17.0614257
32	17.04025014
33	17.01254731
34	16.99380143
35	16.97714056
36	16.95925076
37	16.940894
38	16.92591019
39	16.9032682
40	16.89357908
41	16.86084604
42	16.84463727
43	16.83063302
44	16.80478105
45	16.78566806
46	16.78255687
47	16.76277945
48	16.74397829
49	16.73094441
50	16.70512621
51	16.68250967
52	16.6549535
53	16.62933891
54	16.60606699
55	16.58994041
56	16.5679196
57	16.54497133
58	16.52379718
59	16.49190037
60	16.48072389
61	16.45775287
62	16.44450674
63	16.42030389
64	16.39482834
65	16.38693208
66	16.35956039
67	16.34220531
68	16.31631577
69	16.30478038
70	16.2916784
71	16.28782536
72	16.27553483
73	16.25285341
74	16.23163744
75	16.2154366
76	16.19616791
77	16.18074896
78	16.16860207
79	16.1466246
80	16.12454863
81	16.1138343
82	16.1025511
83	16.08961722
84	16.06241377
85	16.04527251
86	16.02553863
87	15.99908247
88	15.97652893
89	15.95127129
90	15.92335994
91	15.9138886
92	15.91125935
93	15.89549094
94	15.87984966
95	15.86765312
96	15.86553407
97	15.85548572
98	15.8389718
99	15.82618819
100	15.79857937
101	15.78600632
102	15.77503412
103	15.75651203
104	15.73339755
105	15.71343845
106	15.70400435
107	15.69456857
108	15.68124742
109	15.65020796
110	15.63857118
111	15.63695939
112	15.63017748
113	15.61471274
114	15.59890534
115	15.58538326
116	15.57497932
117	15.56284606
118	15.55041498
119	15.53172178
120	15.50820658
121	15.48788953
122	15.46496376
123	15.45517777
124	15.44193795
125	15.41946605
126	15.39643516
127	15.37539778
128	15.36318608
129	15.34684465
130	15.33428955
131	15.31304611
132	15.29245973
133	15.27206896
134	15.25057372
135	15.23607089
136	15.22805222
137	15.21113864
138	15.19517105
139	15.17613703
140	15.17500844
141	15.15596877
142	15.14324195
143	15.13358528
144	15.11892408
145	15.09436375
146	15.0848564
147	15.06723
148	15.05337811
149	15.0443865
150	15.02539966
151	15.01147115
152	15.00007743
153	14.98754688
154	14.9685805
155	14.95652068
156	14.93570292
157	14.92263828
158	14.91646983
159	14.8974343
160	14.87649013
161	14.86949836
162	14.85391582
163	14.82770562
164	14.8124304
165	14.79189095
166	14.76574772
167	14.74945696
168	14.73869799
169	14.71870157
170	14.70954228
171	14.69910736
172	14.68573685
173	14.67250102
174	14.65069391
175	14.64411459
176	14.63444483
177	14.61912616
178	14.60926904
179	14.59501581
180	14.58976437
181	14.5854613
182	14.5721073
183	14.56561805
184	14.5490493
185	14.53850709
186	14.52720785
187	14.50915997
188	14.49409384
189	14.48245334
190	14.4704882
191	14.45887156
192	14.4412169
193	14.42722742
194	14.41379742
195	14.40267112
196	14.38828043
197	14.37406317
198	14.36666477
199	14.33459761
200	14.32482477
201	14.31584677
202	14.30718095
203	14.29097685
204	14.27514117
205	14.26310657
206	14.24961598
207	14.23897154
208	14.22991928
209	14.21807968
210	14.2094618
211	14.2044987
212	14.19041964
213	14.17801266
214	14.16945911
215	14.15722425
216	14.14228675
217	14.13010198
218	14.11597367
219	14.10693471
220	14.09973445
221	14.08026513
222	14.07050999
223	14.06382882
224	14.05268052
225	14.03884277
226	14.02520158
227	14.01755469
228	14.00372788
229	13.99427875
230	13.98527577
231	13.97121286
232	13.95699772
233	13.94104968
234	13.93218134
